d,greek,index,exact,mc,se,z
50,corr,851,0.021342407411318404,0.022733264730520203,0.0015714204371070244,0.885095602907112
50,corr,852,0.024953930306145226,0.02647944110664412,0.0018176920014066318,0.8392570354704582
50,corr,853,0.022859629859275973,0.02419828436287236,0.0016981453926568915,0.7883038221491452
50,corr,854,0.03148708209913887,0.03326357232969445,0.002312322020951026,0.7682711207433532
50,corr,855,0.025737545697848294,0.027225444309258853,0.0018814796555972645,0.7908130215408757
50,corr,856,0.01242900362489553,0.013290415164483269,0.0009234323858120636,0.9328366135114655
50,corr,857,0.025933243684741692,0.027392754210458847,0.0018922024860949177,0.7713289335800723
50,corr,858,0.01414885552439094,0.015205160564456175,0.00102954054071134,1.0259965472903108
50,corr,859,0.01574405724288859,0.016736876675387372,0.0011470656222304755,0.8655297598129036
50,corr,860,0.022268468360344053,0.023734837627166768,0.0016376817661228086,0.8953932913928244
50,corr,861,0.02537343701553352,0.027010323717398105,0.001854711320293982,0.8825560527689714
50,corr,862,0.036210783249798595,0.038636490264527715,0.0026544078132823006,0.9138411221483027
50,corr,863,0.030135991764852706,0.03211527360501628,0.0022200267668418916,0.8915576468382899
50,corr,864,0.032731737378032914,0.03489620434105022,0.0024172358786252674,0.8954305958127207
50,corr,865,0.023943901329346245,0.02555268849622145,0.0017755708339770126,0.9060675789947297
50,corr,866,0.02531802960202335,0.027072377992298124,0.0018936507771331185,0.9264371295169636
50,corr,867,0.023572863288137496,0.02523976812799429,0.0017621094565828657,0.9459712242219653
50,corr,868,0.023732721611216187,0.025312369591650497,0.001775806822681179,0.8895381863942267
50,corr,869,0.031454447952406636,0.03372433904075612,0.002359377629486004,0.9620719718547068
50,corr,870,0.019475147103258064,0.020898994478560296,0.0014628940524433656,0.9733086090028761
50,corr,871,0.01617594241242571,0.017405362443419736,0.0012091135447437672,1.016794523838174
50,corr,872,0.036630806356610146,0.03902711350173983,0.002747299336722637,0.872241008869582
50,corr,873,0.023725644873403184,0.02537856010371504,0.0017755559658266422,0.9309282625413123
50,corr,874,0.016187399041591628,0.016084306045973086,0.0018174817758990038,-0.05672298725941687
50,corr,875,0.026725721266624966,0.026269077657312397,0.002739239099175934,-0.166704545598062
50,corr,876,0.02949876153793661,0.030643524288053555,0.0028515270311518922,0.4014560400833762
50,corr,877,0.024337016030215528,0.02453529136331662,0.0023215405435483135,0.08540679319691871
50,corr,878,0.028455281083026703,0.028927489621897746,0.0025994434506962823,0.1816575539446947
50,corr,879,0.0260671239006971,0.026750189711392088,0.002437229137255951,0.28026327120971606
50,corr,880,0.035905116373379065,0.03701118110668527,0.0032735034305723795,0.33788409169707406
50,corr,881,0.02934884758571128,0.03003622270556957,0.0026603461985199987,0.25837807133548646
50,corr,882,0.014172949406741917,0.013848220379048365,0.001512629265946499,-0.21467853029430753
50,corr,883,0.029572004465453897,0.0310138916497901,0.002737332635627737,0.5267489838718641
50,corr,884,0.016134118193418676,0.015501809602602503,0.0015992354166255074,-0.3953818082333285
50,corr,885,0.017953146808434062,0.018484887689424814,0.0017239902503038927,0.30843613001698844
50,corr,886,0.02539301499636035,0.025789836715344343,0.0023650976969160323,0.16778237935009108
50,corr,887,0.028933649868440832,0.029701153450441962,0.0026291737608557285,0.29191816586185915
50,corr,888,0.041291612301883676,0.041733192746190105,0.0037452374990504457,0.11790452392361916
50,corr,889,0.0343644510449516,0.0346682208146191,0.003111085879904211,0.0976410749795347
50,corr,890,0.0373244124673367,0.03757240847117978,0.0034027600618414325,0.07288083771292232
50,corr,891,0.02730353231703215,0.02770479785746093,0.0024852916679444985,0.16145611623952885
50,corr,892,0.028870468096825194,0.029049706231170105,0.0026245394839441286,0.06829317502800714
50,corr,893,0.026880432964522916,0.026788949756173974,0.0024197520881317166,-0.03780685170090132
50,corr,894,0.027062721424130624,0.02739376157834402,0.0025112416413035285,0.13182329759455616
50,corr,895,0.03586790324475452,0.03586234791234103,0.003232500179879969,-0.0017185868845632103
50,corr,896,0.022207755578287792,0.0221533348526231,0.002013166330378079,-0.02703240405102077
50,corr,897,0.018445630907892457,0.018244069594028176,0.0016923686607365912,-0.1191001219418428
50,corr,898,0.04177056994178482,0.04247539376393427,0.0037820314026306345,0.18636117660451068
50,corr,899,0.027054651730853883,0.02727402108997146,0.0024552593431024783,0.08934671595236869
50,corr,900,0.017726340095491587,0.01672749216114687,0.0016101293283247906,-0.6203526119134402
50,corr,901,0.019565611502140215,0.01818614697909957,0.0017426809648054752,-0.7915760548831307
50,corr,902,0.016141986169696768,0.015052401682498233,0.0014354412435976754,-0.7590589249530595
50,corr,903,0.01887350335500368,0.01757317046716749,0.0016816471711054034,-0.7732495318750099
50,corr,904,0.0172895129364427,0.015996544745426416,0.0015514106621736788,-0.8334145320393178
50,corr,905,0.023814747510576596,0.02201273834604638,0.0021284905920749045,-0.8466136384345366
50,corr,906,0.019466178237993886,0.018105591687955776,0.0017575629340875615,-0.774132478359563
50,corr,907,0.009400476747987496,0.009028473436478751,0.0009031746507922428,-0.4118841368969256
50,corr,908,0.019614191259064575,0.01771932454542817,0.0018000353687318727,-1.0526830453177938
50,corr,909,0.010701259037470868,0.010361907503625445,0.0009766240203005247,-0.34747408090679366
50,corr,910,0.011907764169793,0.010855029413623103,0.0010871513044413584,-0.968342448626186
50,corr,911,0.016842397456173323,0.015532079638820943,0.0014714418259879605,-0.8904992329361049
50,corr,912,0.01919079049935131,0.01750502636283764,0.0017398341715736919,-0.9689223053878094
50,corr,913,0.027387442810324868,0.025350110686834477,0.0024346553345798807,-0.8368051504267436
50,corr,914,0.022792872092787863,0.02121093756209705,0.002020464368217264,-0.7829559162612791
50,corr,915,0.024756122488138535,0.023078535743578606,0.002213571347086185,-0.757864320374496
50,corr,916,0.01810958420285425,0.0166689208339474,0.001617118302757919,-0.8908831014093801
50,corr,917,0.01914888399436605,0.017732055165168705,0.001700932764035476,-0.8329716842163164
50,corr,918,0.017828955555195376,0.016658563099027114,0.0016032477447088622,-0.730013474231206
50,corr,919,0.01794986182366435,0.016598311427729762,0.0016011710418176379,-0.8441011988327723
50,corr,920,0.023790065199201908,0.022063381513461097,0.0021221065601150285,-0.8136649300246338
50,corr,921,0.014729713904106476,0.013670932026620966,0.0013139527762308268,-0.8057990337542462
50,corr,922,0.012234413563144388,0.011402313282512606,0.0010937834730110937,-0.7607541173949908
50,corr,923,0.02770512052354805,0.02553432367408561,0.002481835639486884,-0.8746738965805352
50,corr,924,0.017944509446975884,0.016562111143697496,0.0016070567341076758,-0.860205040642806
50,corr,925,0.03230321795822339,0.029981703588557358,0.002597235325084868,-0.8938405955148386
50,corr,926,0.02665074370209712,0.024367439913696907,0.0021859282019826816,-1.0445465621099588
50,corr,927,0.031160533492411116,0.028578214922593492,0.0025411757592722246,-1.0161904623854834
50,corr,928,0.028545333465112416,0.026055146052220778,0.0023239313836190202,-1.0715408511819788
50,corr,929,0.03931862693737241,0.035940128719043826,0.0032250138630761124,-1.0475918435606584
50,corr,930,0.032139051640004045,0.029555875460753805,0.0026261972434095805,-0.9836184946628429
50,corr,931,0.015520376108267009,0.01465253231620048,0.0013609788754711746,-0.6376614712451572
50,corr,932,0.032383424113605425,0.028770739609635977,0.0027273703258796573,-1.324603582318529
50,corr,933,0.017667993820536406,0.01674516425284057,0.0015054276765157015,-0.6130015955543712
50,corr,934,0.019659958050882782,0.017515797243017585,0.0016455421858308935,-1.3030117527996
50,corr,935,0.027807136817895057,0.025050801132939397,0.0023251253769045626,-1.185456798301848
50,corr,936,0.03168438094681256,0.028199285576178602,0.002583900958868342,-1.3487728152553897
