kind,sigma,T,K,greek,bs,ad,se,z_score
call,0.2,2.0,100.0,vega,49.91418560723049,49.69832016114488,0.1199518309460885,-1.7996010930640545
call,0.2,2.0,100.0,rho,105.68464590627377,105.58475444068169,0.08921476843768246,-1.1196741003912967
call,0.2,2.0,120.0,delta,0.4405285455758379,0.4398719714459996,0.0006361664225185906,-1.032079195942066
call,0.2,2.0,120.0,vega,55.7909003265798,55.716951384052784,0.11637205197095052,-0.6354527678645511
call,0.2,2.0,120.0,rho,72.24928334222683,72.139574699289,0.10228290661780559,-1.072599973598462
call,0.4,0.25,80.0,delta,0.899413671534024,0.8999802901086276,0.0003988938896118392,1.4204744403454717
call,0.4,0.25,80.0,vega,8.812438202369405,8.857838516100973,0.045466581495497836,0.99854249513048
call,0.4,0.25,80.0,rho,16.977088618207453,16.98495555957407,0.0068549713850705645,1.1476257047187342
call,0.4,0.25,100.0,delta,0.5645439358620384,0.5642346622614353,0.0005904640857006818,-0.5237805449863621
call,0.4,0.25,100.0,vega,19.68548076923555,19.60984236590884,0.037132657010549,-2.0369779438412463
call,0.4,0.25,100.0,rho,11.975446676158741,11.9741586259832,0.012339165629009675,-0.1043871372074423
call,0.4,0.25,120.0,delta,0.22689612190063513,0.22681350008742662,0.0005017704612366746,-0.16466057608268514
call,0.4,0.25,120.0,vega,15.066944469201331,15.056143614004563,0.03750522440973743,-0.2879826841927654
call,0.4,0.25,120.0,rho,5.074655628117473,5.073236540027093,0.011161042473055884,-0.12714655407911654
call,0.4,1.0,80.0,delta,0.8113437380326962,0.8103388463807232,0.0006312382737935335,-1.5919371395748423
call,0.4,1.0,80.0,vega,27.018228107240294,26.932782430091095,0.10289471562611578,-0.8304185169205317
call,0.4,1.0,80.0,rho,52.157966226436294,52.113294267156526,0.03535451489885228,-1.2635432676016702
call,0.4,1.0,100.0,delta,0.627409464153284,0.6272735906580428,0.0007102698781994839,-0.1912984055943374
call,0.4,1.0,100.0,vega,37.84198319338194,37.78540624265671,0.09583107566358093,-0.5903820898749549
call,0.4,1.0,100.0,rho,44.71799496511172,44.715773278699366,0.04747628673649529,-0.046795707185060056
call,0.4,1.0,120.0,delta,0.4479652220468224,0.4469253311835917,0.000713888816781835,-1.4566566092440814
call,0.4,1.0,120.0,vega,39.554395415577225,39.41956179283488,0.09518320240306519,-1.4165695137192267
call,0.4,1.0,120.0,rho,33.990548288676614,33.9253310805791,0.05216864395222057,-1.250122739575999
call,0.4,2.0,80.0,delta,0.8034711091663252,0.8047350450052273,0.000791846066686607,1.5961888201211298
call,0.4,2.0,80.0,vega,39.17639807719695,39.537402767367865,0.17691106003623908,2.0405998929460147
