greek,K,T,exact,method,rmse,ci_lo,ci_hi,bias,std,ratio_to_best,ratio_ci_lo,ratio_ci_hi,best,tie_with_best,width_out,width_in,rmse_in_sample,width_at_grid_edge,grid_extended,width_base,rmse_base,lr_over_pwlr,lr_over_pwlr_lo,lr_over_pwlr_hi,parity_over_plain,parity_over_plain_lo,parity_over_plain_hi,parity_leg
gamma,120.0,0.1,0.0013527925129982023,"FD, CRN",0.00017203596902329183,0.00015715383975175898,0.00018689569179732233,0.00010205485621872574,0.0001388436847824853,1.0,1.0,1.0,True,False,2.5118864315095824,2.5118864315095824,0.00017203596902329183,False,False,,,1.5620539090616958,1.4001590695431974,1.7413530964116195,,,,
gamma,120.0,0.1,0.0013527925129982023,LR,0.0003235966403552808,0.0002908121336775348,0.00035577712574124846,1.9175240609655523e-05,0.00032383862194324084,1.8809824607752188,1.6450811348251944,2.1328182141832155,False,False,,,,,,,,1.5620539090616958,1.4001590695431974,1.7413530964116195,,,,
gamma,120.0,0.1,0.0013527925129982023,LR (parity),0.0003235966403552808,0.0002908121336775348,0.00035577712574124846,1.9175240609655523e-05,0.00032383862194324084,1.8809824607752188,1.6450811348251944,2.1328182141832155,False,False,,,,,,,,1.5620539090616958,1.4001590695431974,1.7413530964116195,1.0,1.0,1.0,call
gamma,120.0,0.1,0.0013527925129982023,Pathwise-LR,0.00020716099391836023,0.00018733355124835488,0.00022493299931814398,7.490929856838599e-06,0.00020754502658803934,1.2041725639962702,1.0581109292577766,1.3574440797916463,False,False,,,,,,,,1.5620539090616958,1.4001590695431974,1.7413530964116195,,,,
gamma,120.0,0.1,0.0013527925129982023,Pathwise-LR (parity),0.00020716099391836023,0.00018733355124835488,0.00022493299931814398,7.490929856838599e-06,0.00020754502658803934,1.2041725639962702,1.0581109292577766,1.3574440797916463,False,False,,,,,,,,1.5620539090616958,1.4001590695431974,1.7413530964116195,1.0,1.0,1.0,call
gamma,120.0,0.1,0.0013527925129982023,Smoothed AD,0.00018437736169790394,0.0001673507296982992,0.00020096497402955166,0.0001025096171045179,0.00015363858232115104,1.0717372811318384,1.0437096547916025,1.0993223631903328,False,False,0.6309573444801934,0.6309573444801934,0.00018437736169790394,False,False,,,1.5620539090616958,1.4001590695431974,1.7413530964116195,,,,
digital delta,120.0,0.1,0.001127327094165168,"FD, CRN",0.00014464252776309617,0.00013137617199966128,0.0001574754937390829,6.849482541744278e-05,0.00012771639328725028,1.0,1.0,1.0,True,False,1.584893192461114,1.584893192461114,0.00014464252776309617,False,False,,,,,,,,,
digital delta,120.0,0.1,0.001127327094165168,Smoothed AD,0.00015658519886166451,0.0001428968276064214,0.00017027921177312637,9.033667928684908e-05,0.00012822016585793038,1.0825668030230275,1.0209705116712766,1.14635442727949,False,False,0.6309573444801934,0.6309573444801934,0.00015658519886166451,False,False,,,,,,,,,
digital delta,120.0,0.1,0.001127327094165168,LR,0.0001723852687738731,0.00015637207755988167,0.00018901578218378525,6.07044351427251e-06,0.00017271066985915053,1.1918021030178316,1.0393996658304754,1.3608396030440841,False,False,,,,,,,,,,,,,,
digital delta,120.0,0.1,0.001127327094165168,LR (parity),0.0001723852687738731,0.00015637207755988167,0.00018901578218378525,6.0704435142724986e-06,0.0001727106698591505,1.1918021030178316,1.0393996658304754,1.3608396030440841,False,False,,,,,,,,,,,1.0,0.9999999999999999,1.0000000000000002,call
gamma,80.0,0.25,0.0022050842423748723,"FD, CRN",0.0001577131875818221,0.00014193476258617146,0.00017289459467964037,5.504755410510506e-05,0.0001481653847240192,1.0543792542571495,0.9374749162014265,1.196860378627672,False,True,2.5118864315095824,2.5118864315095824,0.0001577131875818221,False,False,,,4.024823612567576,3.540697834683705,4.55934120051085,,,,
gamma,80.0,0.25,0.0022050842423748723,LR,0.0027742134057578776,0.002494216881470664,0.0030575378567311556,-1.143810067443185e-05,0.0027811514174119587,18.546788044567553,16.047671936744067,21.48473527963134,False,False,,,,,,,,4.024823612567576,3.540697834683705,4.55934120051085,,,,
gamma,80.0,0.25,0.0022050842423748723,LR (parity),0.00025993273453599896,0.0002342898760485511,0.00028525546499366265,1.5045766628566823e-07,0.00026058496978575714,1.737760088419372,1.5600088222005568,1.9418191411271628,False,False,,,,,,,,4.024823612567576,3.540697834683705,4.55934120051085,0.09369601271355289,0.0809450742625497,0.10804478649372716,put
gamma,80.0,0.25,0.0022050842423748723,Pathwise-LR,0.0006892757727556935,0.0006313457149933036,0.0007484501670142986,4.878382676169423e-06,0.0006909881441582479,4.6080995914094,4.055682835199669,5.309696640487831,False,False,,,,,,,,4.024823612567576,3.540697834683705,4.55934120051085,,,,
gamma,80.0,0.25,0.0022050842423748723,Pathwise-LR (parity),0.00014957918314974537,0.00013442699950780586,0.00016381350042736064,8.737677291903339e-06,0.0001496984742515898,1.0,1.0,1.0,True,False,,,,,,,,4.024823612567576,3.540697834683705,4.55934120051085,0.21700919873004462,0.1883346768067134,0.24656760423297597,put
gamma,80.0,0.25,0.0022050842423748723,Smoothed AD,0.00016088797946794587,0.0001452867993282059,0.00017562274733165636,9.468608387523402e-05,0.0001304013420471153,1.0756040785894594,0.9526295724880526,1.221556866108997,False,True,0.6309573444801934,0.6309573444801934,0.00016088797946794587,False,False,,,4.024823612567576,3.540697834683705,4.55934120051085,,,,
digital delta,80.0,0.25,0.002756355302968591,"FD, CRN",0.0002109361579466888,0.00018986232372644168,0.00023089219733139272,5.477028006491278e-05,0.00020421261742728823,1.123702384755047,0.9972106279753685,1.2690628138102156,False,True,1.584893192461114,1.584893192461114,0.0002109361579466888,False,False,,,,,,,,,
digital delta,80.0,0.25,0.002756355302968591,Smoothed AD,0.00019340120894913225,0.0001746744888180486,0.00021132123649651458,0.00010516438011351522,0.0001627171321768093,1.0302899314472913,0.9176865766586408,1.162384729021819,False,True,0.6309573444801934,0.6309573444801934,0.00019340120894913225,False,False,,,,,,,,,
digital delta,80.0,0.25,0.002756355302968591,LR,0.0006687266227845853,0.0006089594426107458,0.000722134122912238,1.040189947689383e-05,0.0006703236273135714,3.562450876545053,3.118503577815312,4.062463658065736,False,False,,,,,,,,,,,,,,
digital delta,80.0,0.25,0.002756355302968591,LR (parity),0.00018771532463435168,0.00016925691906623854,0.00020510075897531288,1.0644646033979667e-05,0.00018788356977754358,1.0,1.0,1.0,True,False,,,,,,,,,,,0.28070562504705276,0.24615604890866305,0.32066671614392245,put
gamma,90.0,0.25,0.018755674326845672,"FD, CRN",0.0004024634477565562,0.0003613098316024855,0.0004423040665963078,0.00019893911629338727,0.00035073512860947346,3.5464014478547834,3.0596742630797267,4.079365596458285,False,False,3.981071705534973,3.981071705534973,0.0004024634477565562,False,False,,,4.362557033320807,3.907436113493574,4.861495558459108,,,,
gamma,90.0,0.25,0.018755674326845672,LR,0.0025754087923059716,0.0023401599679889547,0.0028183607559629335,0.0002464637811080546,0.00257002161617893,22.693821068134632,19.875444047316776,25.79158911639715,False,False,,,,,,,,4.362557033320807,3.907436113493574,4.861495558459108,,,,
gamma,90.0,0.25,0.018755674326845672,LR (parity),0.0007372697555602092,0.000665880550513943,0.0008021755332176802,-2.8790363840578668e-05,0.0007385561136969439,6.496626074126938,5.711997213566874,7.345194296798711,False,False,,,,,,,,4.362557033320807,3.907436113493574,4.861495558459108,0.28627290462112304,0.251326042686005,0.3242252476690623,put
gamma,90.0,0.25,0.018755674326845672,Pathwise-LR,0.0005903438677443613,0.0005382817278238939,0.0006435907734837895,7.841592397278752e-05,0.0005865809501734589,5.201954013391991,4.784556971110445,5.645699067959949,False,False,,,,,,,,4.362557033320807,3.907436113493574,4.861495558459108,,,,
gamma,90.0,0.25,0.018755674326845672,Pathwise-LR (parity),0.00033297329493294794,0.0002943378453584373,0.00037251417725302796,-1.2666877884027812e-05,0.0003335672358721883,2.9340726016973995,2.5318481542522218,3.396581665534144,False,False,,,,,,,,4.362557033320807,3.907436113493574,4.861495558459108,0.5640327834778772,0.48532080594747373,0.6496648352286205,put
gamma,90.0,0.25,0.018755674326845672,Smoothed AD,0.00011348502240207638,0.00010423912774316776,0.00012341033637853978,-8.325720729643424e-05,7.73108828421167e-05,1.0,1.0,1.0,True,False,6.309573444801936,6.309573444801936,0.00011348502240207638,False,False,,,4.362557033320807,3.907436113493574,4.861495558459108,,,,
digital delta,90.0,0.25,0.02083963814093964,"FD, CRN",0.00044615059539877816,0.000400000162152172,0.0004919556310572296,0.0001224714648032272,0.00043008833273340855,1.9874091258387192,1.7434968682068925,2.275118170534968,False,False,2.5118864315095824,2.5118864315095824,0.00044615059539877816,False,False,,,,,,,,,
digital delta,90.0,0.25,0.02083963814093964,Smoothed AD,0.00022448855124910193,0.00020615890332628786,0.00024096386600687812,-0.00016931310615012608,0.00014777472236674865,1.0,1.0,1.0,True,False,3.981071705534973,3.981071705534973,0.00022448855124910193,False,False,,,,,,,,,
